PurchaseOrderID,Product_Dimension_Key,Vendor_Dimension_Key,Date_Dimension_Key,Product_Dimension_Key,DueDate,OrderQty,ReceivedQty,RejectedQty
1,1,,113,1,2011/04/30 00:00:00.000000000,4,3.0,0.0
2,252,,113,252,2011/04/30 00:00:00.000000000,3,3.0,0.0
2,253,,113,253,2011/04/30 00:00:00.000000000,3,3.0,0.0
3,481,,113,481,2011/04/30 00:00:00.000000000,550,550.0,0.0
4,9,,113,9,2011/04/30 00:00:00.000000000,3,2.0,1.0
5,429,,127,429,2011/05/14 00:00:00.000000000,550,550.0,0.0
6,430,,127,430,2011/05/14 00:00:00.000000000,550,468.0,0.0
7,109,,127,109,2011/05/14 00:00:00.000000000,550,550.0,0.0
7,110,,127,110,2011/05/14 00:00:00.000000000,550,550.0,0.0
7,111,,127,111,2011/05/14 00:00:00.000000000,550,550.0,0.0
8,303,,127,303,2011/05/14 00:00:00.000000000,3,3.0,0.0
8,304,,127,304,2011/05/14 00:00:00.000000000,3,3.0,0.0
8,305,,127,305,2011/05/14 00:00:00.000000000,3,3.0,0.0
8,306,,127,306,2011/05/14 00:00:00.000000000,3,3.0,0.0
8,307,,127,307,2011/05/14 00:00:00.000000000,3,3.0,0.0
9,326,,355,326,2011/12/28 00:00:00.000000000,3,3.0,0.0
9,327,,355,327,2011/12/28 00:00:00.000000000,3,3.0,0.0
9,328,,355,328,2011/12/28 00:00:00.000000000,3,3.0,0.0
9,329,,355,329,2011/12/28 00:00:00.000000000,3,3.0,0.0
9,330,,355,330,2011/12/28 00:00:00.000000000,3,3.0,0.0
10,112,,355,112,2011/12/28 00:00:00.000000000,3,3.0,0.0
10,115,,355,115,2011/12/28 00:00:00.000000000,3,3.0,0.0
10,116,,355,116,2011/12/28 00:00:00.000000000,60,60.0,0.0
11,342,,355,342,2011/12/28 00:00:00.000000000,3,3.0,0.0
11,343,,355,343,2011/12/28 00:00:00.000000000,3,3.0,0.0
11,344,,355,344,2011/12/28 00:00:00.000000000,3,3.0,0.0
11,345,,355,345,2011/12/28 00:00:00.000000000,3,3.0,0.0
12,413,,355,413,2011/12/28 00:00:00.000000000,550,550.0,82.0
13,112,,355,112,2011/12/28 00:00:00.000000000,3,3.0,0.0
13,115,,355,115,2011/12/28 00:00:00.000000000,3,3.0,0.0
13,116,,355,116,2011/12/28 00:00:00.000000000,60,60.0,0.0
14,417,,355,417,2011/12/28 00:00:00.000000000,3,3.0,3.0
15,406,,355,406,2011/12/28 00:00:00.000000000,3,3.0,0.0
16,117,,355,117,2011/12/28 00:00:00.000000000,3,3.0,0.0
17,450,,356,450,2011/12/29 00:00:00.000000000,550,550.0,0.0
17,451,,356,451,2011/12/29 00:00:00.000000000,550,550.0,0.0
18,400,,356,400,2011/12/29 00:00:00.000000000,60,60.0,0.0
18,401,,356,401,2011/12/29 00:00:00.000000000,60,60.0,0.0
18,402,,356,402,2011/12/29 00:00:00.000000000,60,60.0,0.0
18,403,,356,403,2011/12/29 00:00:00.000000000,60,60.0,0.0
18,404,,356,404,2011/12/29 00:00:00.000000000,60,60.0,0.0
19,452,,356,452,2011/12/29 00:00:00.000000000,550,550.0,0.0
19,453,,356,453,2011/12/29 00:00:00.000000000,550,550.0,0.0
19,454,,356,454,2011/12/29 00:00:00.000000000,550,550.0,0.0
19,455,,356,455,2011/12/29 00:00:00.000000000,550,550.0,0.0
19,456,,356,456,2011/12/29 00:00:00.000000000,550,550.0,0.0
20,423,,356,423,2011/12/29 00:00:00.000000000,60,60.0,0.0
21,130,,356,130,2011/12/29 00:00:00.000000000,550,550.0,0.0
21,138,,356,138,2011/12/29 00:00:00.000000000,550,550.0,0.0
21,421,,356,421,2011/12/29 00:00:00.000000000,550,550.0,27.0
22,424,,356,424,2011/12/29 00:00:00.000000000,550,550.0,82.0
22,425,,356,425,2011/12/29 00:00:00.000000000,550,550.0,0.0
23,240,,356,240,2011/12/29 00:00:00.000000000,550,550.0,0.0
23,412,,356,412,2011/12/29 00:00:00.000000000,550,550.0,0.0
23,497,,356,497,2011/12/29 00:00:00.000000000,550,550.0,0.0
24,130,,356,130,2011/12/29 00:00:00.000000000,550,550.0,550.0
24,138,,356,138,2011/12/29 00:00:00.000000000,550,550.0,550.0
25,424,,356,424,2011/12/29 00:00:00.000000000,550,550.0,0.0
25,425,,356,425,2011/12/29 00:00:00.000000000,550,523.0,0.0
26,399,,356,399,2011/12/29 00:00:00.000000000,3,3.0,0.0
27,218,,356,218,2011/12/29 00:00:00.000000000,3,3.0,0.0
27,219,,356,219,2011/12/29 00:00:00.000000000,3,3.0,0.0
27,220,,356,220,2011/12/29 00:00:00.000000000,3,3.0,0.0
27,221,,356,221,2011/12/29 00:00:00.000000000,3,3.0,0.0
27,222,,356,222,2011/12/29 00:00:00.000000000,3,3.0,0.0
27,223,,356,223,2011/12/29 00:00:00.000000000,3,3.0,0.0
28,407,,356,407,2011/12/29 00:00:00.000000000,550,550.0,0.0
28,408,,356,408,2011/12/29 00:00:00.000000000,550,550.0,0.0
29,271,,380,271,2012/01/22 00:00:00.000000000,3,3.0,0.0
29,272,,380,272,2012/01/22 00:00:00.000000000,3,3.0,0.0
29,273,,380,273,2012/01/22 00:00:00.000000000,3,3.0,0.0
29,274,,380,274,2012/01/22 00:00:00.000000000,3,3.0,0.0
29,275,,380,275,2012/01/22 00:00:00.000000000,3,3.0,0.0
30,384,,380,384,2012/01/22 00:00:00.000000000,550,550.0,0.0
30,385,,380,385,2012/01/22 00:00:00.000000000,550,550.0,55.0
30,386,,380,386,2012/01/22 00:00:00.000000000,550,550.0,0.0
31,302,,380,302,2012/01/22 00:00:00.000000000,3,3.0,0.0
32,427,,380,427,2012/01/22 00:00:00.000000000,550,550.0,82.0
32,428,,380,428,2012/01/22 00:00:00.000000000,550,550.0,0.0
33,303,,388,303,2012/01/30 00:00:00.000000000,3,3.0,0.0
33,304,,388,304,2012/01/30 00:00:00.000000000,3,3.0,0.0
33,305,,388,305,2012/01/30 00:00:00.000000000,3,3.0,0.0
34,461,,388,461,2012/01/30 00:00:00.000000000,550,550.0,550.0
35,462,,388,462,2012/01/30 00:00:00.000000000,550,550.0,0.0
36,452,,388,452,2012/01/30 00:00:00.000000000,550,468.0,0.0
36,453,,388,453,2012/01/30 00:00:00.000000000,550,550.0,0.0
36,457,,388,457,2012/01/30 00:00:00.000000000,550,550.0,0.0
37,241,,388,241,2012/01/30 00:00:00.000000000,60,60.0,0.0
37,242,,388,242,2012/01/30 00:00:00.000000000,60,60.0,0.0
38,407,,388,407,2012/01/30 00:00:00.000000000,550,550.0,0.0
